primary_category,subcategory,term
"Geographic & Demographic Targeting","Specific Locations","Michigan"
"Geographic & Demographic Targeting","Target Audience Demographics","Age Group"
"Geographic & Demographic Targeting","Target Audience Demographics","Gender"
"Geographic & Demographic Targeting","Target Audience Demographics","Race/Ethnicity"
"Geographic & Demographic Targeting","Target Audience Demographics","Education Level"
"Geographic & Demographic Targeting","Target Audience Demographics","Income Level"
"Geographic & Demographic Targeting","Target Audience Demographics","Political Affiliation"
"Geographic & Demographic Targeting","Target Audience Demographics","Issue Interest Groups"
"Campaign Context","Election Type","General Election"
"Campaign Context","Election Type","Primary Election"
"Campaign Context","Election Type","Special Election"
"Campaign Context","Election Type","Runoff"
"Campaign Context","Election Type","Recall"
"Campaign Context","Election Year","2024"
"Campaign Context","Election Year","2022"
"Campaign Context","Election Year","2020"
"Campaign Context","Election Year","(other years)"
"Campaign Context","Office Sought","Presidential"
"Campaign Context","Office Sought","Senate"
"Campaign Context","Office Sought","House"
"Campaign Context","Office Sought","Governor"
"Campaign Context","Office Sought","State Legislature"
"Campaign Context","Office Sought","Local Office"
"Campaign Context","Office Sought","Ballot Measure"
"Campaign Context","Campaign Phase","Early Campaign"
"Campaign Context","Campaign Phase","Late Campaign"
"Campaign Context","Campaign Phase","GOTV Period"
"Campaign Context","Campaign Phase","Election Day"
"Document Metadata","File Type","PDF"
"Document Metadata","File Type","JPG/JPEG"
"Document Metadata","File Type","PNG"
"Document Metadata","File Type","Other"
"Document Metadata","Creation Timeline","Publication Date"
"Document Metadata","Creation Timeline","Distribution Date"
"Document Metadata","Creation Timeline","Filing Date"
